(1, 1)
(2, 1)
(3, 1)
(4, 1)
(4, 2)
(4, 3)
(3, 3)
(3, 2)
(2, 2)
(1, 2)
(1, 3)
(2, 3)
(2, 4)
(1, 4)
(1, 5)
(2, 5)
(2, 6)
(2, 7)
(2, 8)
(2, 9)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(2, 13)
(3, 13)
(3, 12)
(3, 11)
(2, 11)
(2, 10)
(3, 10)
(4, 10)
(5, 10)
(5, 11)
(4, 11)
(4, 12)
(4, 13)
(5, 13)
(5, 14)
(6, 14)
(6, 15)
(5, 15)
(5, 16)
(5, 17)
(5, 18)
(5, 19)
(5, 20)
(6, 20)
(7, 20)
(8, 20)
(8, 19)
(8, 18)
(8, 17)
(9, 17)
(10, 17)
(10, 16)
(11, 16)
(11, 15)
(12, 15)
(12, 16)
(13, 16)
(13, 17)
(13, 18)
(12, 18)
(12, 17)
(11, 17)
(11, 18)
(10, 18)
(9, 18)
(9, 19)
(10, 19)
(11, 19)
(12, 19)
(13, 19)
(13, 20)
(14, 20)
(15, 20)
(16, 20)
(17, 20)
(18, 20)
(19, 20)
(19, 19)
(20, 19)
(20, 20)
